mosaic,period,blue,dayOfYear,green,nir,red,swir1,swir2
minnbr,2025_08,6.0,0.0,4.0,0.0,1.0,0.0,0.0
minnbr,2025_09,0.0,0.0,0.0,0.0,7.0,3.0,0.0
minnbr,2025_10,3.0,0.0,1.0,0.0,0.0,0.0,0.0
minnbr,2025_12,0.0,0.0,2.0,0.0,0.0,0.0,0.0
minnbr,2026_04,12.0,20.0,12.0,12.0,12.0,12.0,12.0
minnbr_buffer,2025_01,12.0,20.0,12.0,12.0,12.0,12.0,12.0
minnbr_buffer,2025_02,12.0,20.0,12.0,12.0,12.0,12.0,12.0
minnbr_buffer,2025_03,12.0,20.0,12.0,12.0,12.0,12.0,12.0
minnbr_buffer,2025_04,12.0,20.0,12.0,12.0,12.0,12.0,12.0
minnbr_buffer,2025_05,12.0,20.0,12.0,12.0,12.0,12.0,12.0
